Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension,cell_type,Normalized_Name
40639841358_sort.swc,5777,164282000.0,4,76,154,79,373760.0,187200.0,89463,404.029,1856520.0,2586650000.0,624000000000.0,221668.0,327893.0,17,0.918992,36.5065,0.905917,102.358,88.3426,1.38141,excitatory/spiny neuron with atypical tree,40639841358
59827496437_sort.swc,4560,84079200.0,3,297,596,300,177190.0,121980.0,41415,697.217,1429470.0,3503640000.0,1640000000000.0,105432.0,142153.0,60,0.92594,6.64933,0.905565,102.163,94.2647,1.49637,pyramidal neuron,59827496437
2626428583_sort.swc,2118,102204000.0,3,85,171,87,156380.0,92512.0,52338,494.401,680402.0,1290820000.0,536000000000.0,138494.0,177606.0,24,0.915874,11.3801,0.866168,99.8349,94.6697,1.23593,pyramidal neuron,2626428583
1362419335_sort.swc,12022,214854000.0,5,868,1742,875,366620.0,423392.0,66759,429.383,3686570.0,5405320000.0,1310000000000.0,255890.0,308698.0,141,0.932139,5.90069,0.815943,100.456,96.4758,1.45096,excitatory/spiny neuron with atypical tree,1362419335
46854186954_sort.swc,1602,90329500.0,4,41,84,44,122630.0,118464.0,89397,489.954,525378.0,908173000.0,376000000000.0,91928.4,125687.0,18,0.92262,18.0595,0.879611,104.509,95.1561,1.21359,pyramidal neuron,46854186954
36327332679_sort.swc,23645,313263000.0,6,1767,3544,1778,361670.0,478880.0,107118,596.28,7250640.0,14486400000.0,5710000000000.0,334812.0,398252.0,202,0.935011,5.67156,0.832882,100.645,95.5795,1.72681,pyramidal neuron,36327332679
2746434850_sort.swc,80434,5409010.0,3,6990,14015,7026,587130.0,861694.0,173217,404.952,24050300.0,30493800000.0,5510000000000.0,443049.0,596189.0,420,0.932989,4.73907,0.827122,100.444,95.5757,2.08864,excitatory/spiny neuron with atypical tree,2746434850
3910689017_sort.swc,59500,334339000.0,5,4312,8642,4331,832640.0,667298.0,174207,394.425,17976300.0,22935700000.0,4640000000000.0,614794.0,767340.0,427,0.931169,5.88486,0.830987,100.756,95.9481,1.81805,pyramidal neuron,3910689017
5889270340_sort.swc,35246,504453000.0,12,1863,3741,1879,1140930.0,810460.0,174174,550.448,11076400.0,20668300000.0,6870000000000.0,1071810.0,1205240.0,256,0.923188,8.42128,0.834349,101.497,94.0468,1.85497,unclassified neuron,5889270340
4130842009_sort.swc,84740,435011000.0,5,7077,14196,7120,1069860.0,694524.0,121638,393.178,25326200.0,31673300000.0,5200000000000.0,810890.0,958142.0,413,0.932985,4.96922,0.83783,100.166,94.9615,1.92723,interneuron,4130842009
3053332942_sort.swc,22372,124034000.0,5,2013,4040,2028,400770.0,406212.0,161568,388.529,6682020.0,8683060000.0,2070000000000.0,274176.0,428287.0,399,0.935644,4.53738,0.845007,100.664,96.0147,1.77858,pyramidal neuron,3053332942
33838067536_sort.swc,13025,313792000.0,5,504,1011,508,796060.0,339750.0,115005,671.097,4118300.0,9197030000.0,3100000000000.0,611396.0,730936.0,168,0.924739,11.8823,0.862042,103.317,94.2819,1.55534,pyramidal neuron,33838067536
5869368711_sort.swc,1415,115266000.0,5,68,139,72,42720.0,58880.0,39402,541.888,479709.0,1101630000.0,728000000000.0,42682.9,53367.6,11,0.92468,9.17266,0.863936,106.743,96.0208,1.23738,excitatory/spiny neuron with atypical tree,5869368711
2644081619_sort.swc,75246,91053300.0,4,5790,11618,5829,743450.0,861700.0,173976,429.696,22714700.0,30810700000.0,6740000000000.0,665892.0,812020.0,339,0.931331,5.47659,0.836797,100.052,94.2004,1.9116,pyramidal neuron,2644081619
32777450728_sort.swc,17693,124931000.0,4,1056,2116,1061,627460.0,508480.0,115797,451.694,5433930.0,7866760000.0,1900000000000.0,559309.0,663830.0,252,0.932488,7.36106,0.83761,101.272,96.4958,1.63039,interneuron,32777450728
32500965631_sort.swc,13085,90027200.0,3,659,1320,662,510590.0,243910.0,119559,431.269,4039890.0,5673370000.0,1280000000000.0,498049.0,599708.0,165,0.920508,8.91212,0.841301,102.541,94.6925,1.41815,excitatory/spiny neuron with atypical tree,32500965631
7126061907_sort.swc,18388,161166000.0,4,669,1341,673,959940.0,399560.0,114807,553.491,5778690.0,10476000000.0,3270000000000.0,857369.0,1003020.0,165,0.924631,12.7114,0.835074,101.574,92.7635,1.51213,pyramidal neuron,7126061907
6471618368_sort.swc,2192,175677000.0,3,44,89,46,209600.0,85210.0,61545,465.457,722801.0,1354150000.0,657000000000.0,169306.0,212829.0,16,0.914959,23.618,0.875712,111.645,94.8515,1.26424,pyramidal neuron,6471618368
