Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension,cell_type,Normalized_Name
38135449427_reconnect.swc,3224,82383900.0,3,80,161,82,122434.0,227172.0,97053,361.429,1025510.0,1320140000.0,328532000000.0,144382.0,175703.0,18,0.93787,19.0186,0.888952,103.631,93.3007,1.32319,,38135449427
3818074833_reconnect.swc,4157,29993900.0,5,235,475,241,180730.0,285730.0,54747,661.496,1309120.0,2810830000.0,806799000000.0,264852.0,300329.0,41,0.928112,7.74947,0.891857,106.6,98.1112,1.32807,,3818074833
38325216028_reconnect.swc,15823,178869000.0,4,1085,2174,1090,340830.0,325570.0,99132,374.429,4807180.0,5924580000.0,1080150000000.0,224338.0,387210.0,189,0.929577,6.27783,0.836876,100.049,93.3309,1.60037,,38325216028
3839464410_reconnect.swc,31118,44514800.0,5,2716,5450,2735,227270.0,443778.0,134970,469.188,9314110.0,13952400000.0,3187740000000.0,255152.0,323928.0,265,0.930429,4.70954,0.853263,101.713,94.8374,1.85567,,3839464410
38398981809_reconnect.swc,4653,161854000.0,7,291,589,299,161150.0,142174.0,75141,350.003,1462410.0,1849490000.0,384740000000.0,125666.0,175811.0,45,0.923196,6.89813,0.812062,105.978,99.4438,1.46123,,38398981809
3853262965_reconnect.swc,56465,643314000.0,9,4383,8789,4407,671870.0,671810.0,174009,424.148,17139800.0,23975100000.0,5063030000000.0,467798.0,535062.0,287,0.932024,5.42439,0.856339,100.941,95.3152,1.99584,,3853262965
38537340723_reconnect.swc,3481,89457600.0,2,120,241,122,137470.0,129180.0,107085,521.36,1095110.0,1950580000.0,764558000000.0,125256.0,162189.0,23,0.930443,13.4398,0.818306,104.667,97.0752,1.30851,,38537340723
3882772076_reconnect.swc,70472,329002000.0,7,6099,12233,6135,486590.0,577922.0,173613,408.976,21070600.0,27868600000.0,6117290000000.0,395596.0,485253.0,367,0.931902,4.76073,0.84156,100.258,94.3023,2.11997,,3882772076
38958842554_reconnect.swc,1645,46081800.0,4,78,159,82,69250.0,155580.0,113751,842.105,527059.0,1554400000.0,784064000000.0,109101.0,144922.0,29,0.922065,9.33962,0.895144,97.9142,91.2191,1.35565,,38958842554
38980847175_reconnect.swc,7813,92386800.0,6,415,834,420,196220.0,251812.0,74349,366.165,2442110.0,3004830000.0,491128000000.0,226173.0,298264.0,55,0.921937,8.36691,0.862748,102.81,94.4352,1.40283,,38980847175
3898554672_reconnect.swc,43900,155703000.0,3,3855,7734,3880,375140.0,328840.0,132792,389.431,13114900.0,16064500000.0,3142870000000.0,235133.0,355629.0,300,0.930668,4.67611,0.844518,100.31,93.8969,1.9546,,3898554672
39004427076_reconnect.swc,2302,52929800.0,2,78,156,79,162140.0,187554.0,106128,815.775,736395.0,2029430000.0,995843000000.0,233667.0,282249.0,34,0.932404,13.75,0.863626,105.146,99.8877,1.32985,,39004427076
39034723859_reconnect.swc,17620,44124000.0,3,1064,2132,1069,372350.0,436290.0,174075,597.816,5443350.0,10422800000.0,2778350000000.0,267509.0,410567.0,146,0.934583,7.26407,0.844148,100.829,94.2738,1.50754,,39034723859
39074949262_reconnect.swc,3113,56828400.0,3,50,102,53,139392.0,164390.0,113883,561.812,1010840.0,1902750000.0,774580000000.0,129571.0,195451.0,12,0.930182,29.5098,0.868885,112.033,94.6478,1.27582,,39074949262
39078409985_reconnect.swc,24373,157288000.0,6,2070,4153,2084,346782.0,360800.0,98241,384.314,7327460.0,9177790000.0,2071100000000.0,293625.0,385153.0,263,0.931398,4.86853,0.845353,101.457,96.1641,1.77344,,39078409985
39081564265_reconnect.swc,6345,108792000.0,3,156,313,158,190170.0,265952.0,91311,424.875,2009160.0,2840940000.0,524746000000.0,186984.0,256955.0,29,0.913789,19.2684,0.863923,103.58,94.2639,1.29404,,39081564265
3910294146_reconnect.swc,86356,67970000.0,4,7391,14825,7435,700070.0,565280.0,174207,490.255,25938900.0,40777700000.0,11888700000000.0,556558.0,679564.0,324,0.927881,4.82496,0.832688,100.163,95.142,1.96443,,3910294146
3911695658_reconnect.swc,30104,41949300.0,3,2113,4234,2122,519490.0,386180.0,174207,477.921,9162970.0,14339100000.0,4720970000000.0,334018.0,397739.0,207,0.931427,6.10983,0.84449,100.752,95.7413,1.6381,,3911695658
39154670818_reconnect.swc,20495,218795000.0,4,815,1638,824,236680.0,363710.0,111078,370.835,6385510.0,7751410000.0,1567300000000.0,221363.0,393353.0,63,0.936903,11.5116,0.857721,103.545,98.6936,1.49777,,39154670818
3925990067_reconnect.swc,96674,173433000.0,6,7957,15968,8012,726340.0,761314.0,174240,414.076,29023200.0,38316500000.0,7922340000000.0,603624.0,730706.0,531,0.930719,5.05417,0.833186,100.666,94.9559,2.00112,,3925990067
3937700015_reconnect.swc,19224,959438000.0,10,949,1907,959,349820.0,399648.0,174075,616.655,6177700.0,13039500000.0,5961150000000.0,263996.0,360103.0,109,0.934158,9.08023,0.785464,100.918,94.6394,1.67824,,3937700015
39387658883_reconnect.swc,6952,65153200.0,3,492,985,494,204576.0,186720.0,107448,527.172,2131600.0,3781420000.0,1408980000000.0,173924.0,220173.0,126,0.924088,6.05685,0.83509,100.382,96.461,1.43568,,39387658883
39592847946_reconnect.swc,5139,69552000.0,5,595,1194,600,138850.0,227390.0,39171,340.795,1526270.0,1814340000.0,437480000000.0,178906.0,202596.0,70,0.938609,3.30318,0.839772,104.629,102.203,1.58288,,39592847946
3965500400_reconnect.swc,42548,222337000.0,4,2682,5371,2690,662622.0,834372.0,174075,602.232,13143300.0,26213600000.0,11140800000000.0,617393.0,778644.0,243,0.9324,6.92162,0.825146,101.5,94.9724,1.91501,,3965500400
3968566431_reconnect.swc,72892,139852000.0,4,5656,11339,5684,906150.0,683330.0,174207,447.397,21979400.0,31763500000.0,7537800000000.0,759932.0,877405.0,493,0.930903,5.42834,0.839122,99.9447,94.4415,2.05137,,3968566431
3969369485_reconnect.swc,45460,129378000.0,3,3693,7403,3711,785948.0,633052.0,174174,435.479,13712000.0,19191400000.0,4682020000000.0,674436.0,856077.0,444,0.928074,5.14062,0.828448,100.848,95.0275,1.91706,,3969369485
39837939220_reconnect.swc,4333,256105000.0,5,118,241,124,126530.0,181630.0,101046,516.953,1401820.0,2788090000.0,1483610000000.0,131820.0,210021.0,32,0.928451,16.9751,0.829371,100.567,88.2125,1.33679,,39837939220
39927748931_reconnect.swc,3492,109996000.0,5,232,468,237,120000.0,175868.0,42339,520.769,1098130.0,1927690000.0,592497000000.0,143789.0,190243.0,84,0.915493,6.4594,0.799695,106.493,95.073,1.35641,,39927748931
39942001435_reconnect.swc,6560,76529700.0,5,534,1073,540,158620.0,115680.0,74382,383.699,1995510.0,2664630000.0,743081000000.0,93741.2,136810.0,68,0.927314,5.11277,0.825509,100.831,95.1909,1.51476,,39942001435
39956748130_reconnect.swc,15469,138135000.0,9,1352,2716,1365,349120.0,403740.0,74382,338.392,4643380.0,5249770000.0,912869000000.0,294441.0,348336.0,258,0.931943,4.69514,0.827808,102.72,97.5712,1.59237,,39956748130
