Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension,Normalized_Name
32646523522.swc,23957,115812.0,1,639,1277,641,478784.0,465024.0,173250,558.303,7547540.0,13779900000.0,5563670000000.0,462013.0,815571.0,70,0.924173,17.7557,0.839673,101.804,92.0934,1.5856,32646523522
32706986890.swc,21684,4950660.0,1,1800,3596,1817,469728.0,374240.0,84975,451.52,6485310.0,9497470000.0,2565710000000.0,293254.0,388377.0,230,0.931754,4.99138,0.846561,101.838,96.1644,1.6543,32706986890
32821940336.swc,17926,65156.6,1,1121,2203,1129,856160.0,392288.0,118899,472.851,5454280.0,8295220000.0,1898610000000.0,752819.0,931284.0,338,0.924437,7.01453,0.853711,100.183,92.2978,1.65792,32821940336
3282845962.swc,40843,106211.0,1,2793,5550,2815,795072.0,1010340.0,172227,457.29,12429400.0,18149600000.0,5273840000000.0,921678.0,1176910.0,504,0.929145,6.28486,0.825591,99.6814,94.2374,1.88397,3282845962
32864880910.swc,31764,78024.6,1,2144,4219,2159,685504.0,472384.0,119658,425.434,9620960.0,13253100000.0,3590820000000.0,626681.0,777281.0,314,0.928922,6.43446,0.83071,100.118,94.3537,1.68044,32864880910
32994743029.swc,13686,51471.9,1,519,1022,522,813440.0,277952.0,122001,492.059,4263080.0,6838690000.0,2608450000000.0,737607.0,1069180.0,119,0.928253,12.1341,0.813722,101.464,93.4007,1.40101,32994743029
33068112638.swc,16824,51471.9,1,930,1860,937,878592.0,437824.0,115830,460.215,5178120.0,7602890000.0,1717770000000.0,523971.0,647860.0,243,0.918337,8.01129,0.8308,101.458,93.8806,1.62502,33068112638
3313697526.swc,16690,13684.8,1,834,1670,837,561152.0,323104.0,122067,447.708,5163960.0,7514430000.0,2334610000000.0,469131.0,725636.0,198,0.922887,8.98802,0.822023,101.529,94.1352,1.66392,3313697526
33196294881.swc,29617,80475.0,1,1567,3130,1583,1399490.0,656640.0,116226,572.497,9135060.0,16682600000.0,5786730000000.0,1164830.0,1446600.0,528,0.926574,8.41661,0.847872,101.172,94.6525,1.60197,33196294881
33202910134.swc,12778,116628.0,1,552,1106,555,543616.0,422464.0,112266,414.22,3976090.0,5413730000.0,2018130000000.0,401170.0,618787.0,160,0.9246,10.5425,0.783071,102.007,93.7737,1.54907,33202910134
33445797193.swc,22389,1609920.0,1,1276,2556,1280,400640.0,297888.0,117744,621.107,6932140.0,14413700000.0,7919900000000.0,356317.0,681887.0,219,0.922243,7.759,0.843211,101.421,94.9591,1.70144,33445797193
