Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension,Normalized_Name
33301977059_sort.swc,17598,214436000.0,6,1158,2322,1165,697920,265090,114675,427.94,5401860,7701050000,1743870000000.0,562946.0,661961.0,324,0.920662,6.57838,0.853964,102.243,94.4185,1.67923,33301977059
33359607254_sort.swc,59822,298931000.0,9,4828,9682,4855,460390,482590,174174,402.629,18033900,23688600000,4576030000000.0,281378.0,356313.0,232,0.930648,5.17858,0.827545,100.683,95.612,1.83903,33359607254
33374836408_sort.swc,26368,181983000.0,4,1612,3228,1617,677220,316250,115071,399.083,8045020,10440100000,1837570000000.0,424497.0,519701.0,201,0.925449,7.16822,0.837453,101.272,95.5218,1.75074,33374836408
33418858399_sort.swc,21864,147577000.0,5,1486,2977,1492,710340,357570,113256,500.827,6658010,11124000000,3808200000000.0,503345.0,585352.0,289,0.933294,6.34397,0.853652,102.292,95.5,1.71677,33418858399
33433751956_sort.swc,15280,252434000.0,4,940,1884,945,495300,349150,115236,416.323,4695240,6534120000,1701600000000.0,359240.0,415506.0,142,0.926989,7.10987,0.824825,100.736,96.4094,1.58903,33433751956
33447023610_sort.swc,17798,347734000.0,5,973,1952,980,821830,417090,115203,428.317,5500360,7665810000,1258670000000.0,637680.0,745923.0,211,0.928266,8.11732,0.840327,100.516,93.1909,1.64045,33447023610
33490270998_sort.swc,10485,74225800.0,3,677,1356,680,342140,285470,118899,659.652,3249680,6981140000,2226010000000.0,255231.0,423982.0,111,0.918708,6.73156,0.882799,108.016,96.2429,1.52997,33490270998
33505252195_sort.swc,12345,144511000.0,5,714,1434,721,282590,309090,115269,424.166,3813610,5439860000,1777670000000.0,242000.0,313721.0,115,0.927428,7.60809,0.835461,101.265,94.7643,1.39796,33505252195
3355866023_sort.swc,39184,174699000.0,5,2636,5285,2650,542680,657154,174207,437.044,11957800,17007200000,4212520000000.0,378924.0,514502.0,181,0.926313,6.414,0.814086,101.373,94.7807,1.70589,3355866023
33579222294_sort.swc,7829,94641000.0,4,492,987,496,277470,262560,115038,496.671,2406200,3986730000,1330270000000.0,277685.0,368179.0,206,0.928008,6.9311,0.871008,101.777,94.6089,1.57293,33579222294
33660869921_sort.swc,37355,371191000.0,5,1759,3525,1767,1061410,759230,174174,515.972,11652500,19931000000,6384450000000.0,970195.0,1100530.0,205,0.921863,9.59688,0.818229,102.678,94.3582,1.68816,33660869921
