Layer,Boundary,Soma_X,Soma_Y
layer_2,left,2.0791758157377047,0.44032
layer_2,right,2.6711550210583415,0.44032
layer_2,left,2.0790910887460954,0.440544
layer_2,right,2.6713102978488523,0.440544
layer_2,left,2.0787683401383235,0.441632
layer_2,right,2.671796102917085,0.441632
layer_2,left,2.078742840162442,0.44176
layer_2,right,2.671816918686232,0.44176
layer_2,left,2.0786590970247287,0.442048
layer_2,right,2.6719480014148127,0.442048
layer_2,left,2.078601947741998,0.44224
layer_2,right,2.6720409465647177,0.44224
layer_2,left,2.0782918454292614,0.4432
layer_2,right,2.6725975515830354,0.4432
layer_2,left,2.0782419356730832,0.44336
layer_2,right,2.672688193228041,0.44336
layer_2,left,2.0781534805730852,0.443744
layer_2,right,2.6728155570043644,0.443744
layer_2,left,2.077981204157106,0.444352
layer_2,right,2.673128221946543,0.444352
layer_2,left,2.0779702961263755,0.444384
layer_2,right,2.6731507468082194,0.444384
layer_2,left,2.0779594306464846,0.444416
layer_2,right,2.6731732153587475,0.444416
layer_2,left,2.0779486080312664,0.444448
layer_2,right,2.673195627563475,0.444448
layer_2,left,2.0779378285929844,0.44448
layer_2,right,2.673217983395279,0.44448
layer_2,left,2.077905752434542,0.444576
layer_2,right,2.673284712500094,0.444576
layer_2,left,2.0778981921809314,0.444608
layer_2,right,2.6732974972134387,0.444608
layer_2,left,2.07781489543536,0.444864
layer_2,right,2.6734725978169416,0.444864
layer_2,left,2.0777788321700896,0.445024
layer_2,right,2.6735343332099952,0.445024
layer_2,left,2.0777488703693625,0.44512
layer_2,right,2.6735983928457117,0.44512
layer_2,left,2.077690256031096,0.445312
layer_2,right,2.673724977529106,0.445312
layer_2,left,2.0776564492170695,0.445472
layer_2,right,2.673784059145968,0.445472
layer_2,left,2.0774886721303036,0.44608
layer_2,right,2.6741582620365603,0.44608
layer_2,left,2.077438730075909,0.446272
layer_2,right,2.6742748592619683,0.446272
layer_2,left,2.077328848814313,0.446816
layer_2,right,2.6745103431525084,0.446816
layer_2,left,2.0773153886348474,0.446912
layer_2,right,2.674532325220113,0.446912
layer_2,left,2.077279283389353,0.447072
layer_2,right,2.674622935873658,0.447072
layer_2,left,2.077220688787273,0.447392
layer_2,right,2.674759821067222,0.447392
layer_2,left,2.0771853568033785,0.447584
layer_2,right,2.674847723958233,0.447584
layer_2,left,2.077129181740365,0.448032
layer_2,right,2.674960794993182,0.448032
layer_2,left,2.077115189876916,0.448128
layer_2,right,2.674995280050328,0.448128
layer_2,left,2.0770051931709714,0.448832
layer_2,right,2.675304893467063,0.448832
layer_2,left,2.0769271399972964,0.449376
layer_2,right,2.6755498275826084,0.449376
layer_2,left,2.076922906219757,0.449408
layer_2,right,2.675563581456882,0.449408
layer_2,left,2.0768942939377784,0.449632
layer_2,right,2.675657770253589,0.449632
layer_2,left,2.0768748930830747,0.449792
layer_2,right,2.6757227897017652,0.449792
layer_2,left,2.0768126896324213,0.450592
