Filename,Soma_X,Soma_Y,Soma_Z,LCC_Node_Proportion,C3 agglomeration id,Cell type,Cell body layer, E count all inputs, I count all inputs, E count layer 1, I count layer 1, E count layer 2, I count layer 2, E count layer 3, I count layer 3, E count layer 4, I count layer 4, E count layer 5, I count layer 5, E count layer 6, I count layer 6, E count white matter, I count white matter,Soma_x,Soma_y,Soma_z,new_label
27798218178,2558300.0,557152.0,114708.0,,27798218178,pyramidal neuron,layer_2,3590,1175,205,89,3205,1037,180,49,0,0,0,0,0,0,0,0,,,,layer_2
33805580563,1324480.0,2096320.0,123123.0,,33805580563,pyramidal neuron,white_matter,1785,721,0,0,0,0,102,55,108,60,277,125,212,71,1086,410,,,,white_matter
30071665178,3112640.0,1067940.0,126522.0,,30071665178,pyramidal neuron,layer_2,2230,791,192,85,2038,705,0,1,0,0,0,0,0,0,0,0,,,,layer_2
2527768955,2569380.0,1034210.0,10824.0,,2527768955,pyramidal neuron,layer_3,3505,921,185,66,1195,314,2125,541,0,0,0,0,0,0,0,0,,,,layer_3
4594235135,2401470.0,1557950.0,7062.0,,4594235135,pyramidal neuron,layer_4,329,122,0,0,0,0,126,35,203,87,0,0,0,0,0,0,,,,layer_4
28191553656,2542820.0,611584.0,115236.0,,28191553656,pyramidal neuron,layer_2,2814,912,317,169,2217,677,280,66,0,0,0,0,0,0,0,0,,,,layer_2
6572932243,2275300.0,1845250.0,39501.0,,6572932243,interneuron,layer_5,202,83,0,0,0,0,0,0,0,0,202,83,0,0,0,0,,,,layer_5
36998205066,2570210.0,873216.0,148698.0,,36998205066,interneuron,layer_3,423,349,0,0,210,144,213,205,0,0,0,0,0,0,0,0,,,,layer_3
33572490683,1352260.0,1966820.0,165561.0,,33572490683,pyramidal neuron,white_matter,542,291,0,0,0,0,0,0,0,0,0,0,0,0,542,291,,,,white_matter
29646485207,2422780.0,1022210.0,122529.0,,29646485207,pyramidal neuron,layer_3,939,323,0,0,77,27,862,296,0,0,0,0,0,0,0,0,,,,layer_3
68457913547,2976190.0,2097060.0,139656.0,,68457913547,pyramidal neuron,layer_3,718,375,0,0,0,0,718,375,0,0,0,0,0,0,0,0,,,,layer_3
33676580309,1771550.0,2100740.0,122331.0,,33676580309,pyramidal neuron,layer_6,1972,639,0,0,0,0,0,0,0,0,143,54,1608,511,221,74,,,,layer_6
3033167963,1679710.0,990336.0,42801.0,,3033167963,unclassified neuron,layer_4,47,53,0,0,0,0,0,0,47,53,0,0,0,0,0,0,,,,layer_4
77964625147,3063040.0,2054110.0,155496.0,,77964625147,pyramidal neuron,layer_3,299,128,0,0,0,0,299,128,0,0,0,0,0,0,0,0,,,,layer_3
1129125951,2413380.0,525056.0,44088.0,,1129125951,interneuron,layer_2,565,198,0,0,565,198,0,0,0,0,0,0,0,0,0,0,,,,layer_2
77921566320,3200130.0,2046430.0,128634.0,,77921566320,unclassified neuron,layer_3,9,54,0,0,0,0,9,54,0,0,0,0,0,0,0,0,,,,layer_3
4387746637,1887300.0,1306080.0,43197.0,,4387746637,interneuron,layer_5,128,68,0,0,0,0,0,0,0,0,128,68,0,0,0,0,,,,layer_5
41543715506,3323680.0,1732540.0,91014.0,,41543715506,interneuron,layer_2,14,36,0,0,14,36,0,0,0,0,0,0,0,0,0,0,,,,layer_2
4474214654,1668380.0,1368380.0,6864.0,,4474214654,spiny stellate neuron,layer_5,350,159,0,0,0,0,0,0,0,0,307,148,43,11,0,0,,,,layer_5
39953477320,2275300.0,1507550.0,135399.0,,39953477320,pyramidal neuron,layer_5,350,154,0,0,0,0,54,38,233,91,63,25,0,0,0,0,,,,layer_5
7037711560,1974620.0,2004670.0,24750.0,,7037711560,excitatory/spiny neuron with atypical tree,layer_6,681,336,0,0,0,0,0,0,0,0,280,94,401,242,0,0,,,,layer_6
38806189437,2792100.0,824224.0,128799.0,,38806189437,interneuron,layer_2,577,370,52,31,525,339,0,0,0,0,0,0,0,0,0,0,,,,layer_2
3649826813,2786140.0,1302400.0,8283.0,,3649826813,pyramidal neuron,layer_3,2566,766,47,16,545,146,1974,604,0,0,0,0,0,0,0,0,,,,layer_3
20341310194,2375870.0,473536.0,38808.0,,20341310194,pyramidal neuron,layer_4,2,4,0,0,0,0,0,0,2,4,0,0,0,0,0,0,,,,layer_2
6005303967,2336540.0,1759940.0,48378.0,,6005303967,pyramidal neuron,layer_5,7403,2140,72,31,561,241,1246,446,1337,299,4187,1123,0,0,0,0,,,,layer_5
3063523440,2005540.0,1022500.0,90816.0,,3063523440,pyramidal neuron,layer_4,1986,671,0,0,184,68,751,243,1032,356,19,4,0,0,0,0,,,,layer_4
