Filename,Soma_X,Soma_Y,Soma_Z,LCC_Node_Proportion,C3 agglomeration id,Cell type,Cell body layer old, E count all inputs, I count all inputs, E count layer 1, I count layer 1, E count layer 2, I count layer 2, E count layer 3, I count layer 3, E count layer 4, I count layer 4, E count layer 5, I count layer 5, E count layer 6, I count layer 6, E count white matter, I count white matter,Soma_x,Soma_y,Soma_z,Cell body layer
36650000660,2738530,681600,132165,,36650000660,pyramidal neuron,layer_2,777,281,122,40,655,241,0,0,0,0,0,0,0,0,0,0,,,,layer_2
4028080095,2864640,1275580,38544,,4028080095,pyramidal neuron,layer_3,6894,1884,333,115,1601,414,4960,1355,0,0,0,0,0,0,0,0,,,,layer_3
31000085656,2305250,1296640,155661,,31000085656,pyramidal neuron,layer_4,1055,422,0,0,0,0,284,81,719,323,52,18,0,0,0,0,,,,layer_4
52077416160,1971870,2162660,77418,,52077416160,unclassified neuron,layer_6,4,8,0,0,0,0,0,0,0,0,0,0,4,8,0,0,,,,layer_6
36271703379,2684800,678144,100650,,36271703379,pyramidal neuron,layer_2,1293,407,80,42,1210,365,3,0,0,0,0,0,0,0,0,0,,,,layer_2
6545410305,2726720,1862430,6765,,6545410305,interneuron,layer_4,474,249,0,0,0,0,52,36,422,213,0,0,0,0,0,0,,,,layer_4
3954813613,2838620,1492100,33429,,3954813613,pyramidal neuron,layer_3,4401,1327,0,0,591,203,3809,1124,1,0,0,0,0,0,0,0,,,,layer_3
74462837546,1056640,1156380,168036,,74462837546,unclassified neuron,layer_5,18,20,0,0,0,0,0,0,0,0,13,16,5,4,0,0,,,,layer_5
838389431,2594820,505536,32109,,838389431,pyramidal neuron,layer_2,215,116,5,2,210,114,0,0,0,0,0,0,0,0,0,0,,,,layer_2
4116518502,3183100,1285860,22077,,4116518502,interneuron,layer_2,262,185,0,0,262,185,0,0,0,0,0,0,0,0,0,0,,,,layer_2
5917218606,2128160,1645790,100254,,5917218606,pyramidal neuron,layer_5,497,293,0,0,0,0,48,33,40,33,409,227,0,0,0,0,,,,layer_5
2891786548,2709500,971296,151206,,2891786548,pyramidal neuron,layer_3,2197,656,99,35,777,208,1321,413,0,0,0,0,0,0,0,0,,,,layer_3
6516485487,2581600,1965280,36597,,6516485487,pyramidal neuron,layer_4,1151,597,0,0,0,0,197,81,763,457,191,59,0,0,0,0,,,,layer_4
4838990553,1865760,1471230,126324,,4838990553,pyramidal neuron,layer_5,650,283,0,0,0,0,0,0,47,9,603,274,0,0,0,0,,,,layer_5
32765317248,3272700,1809150,135267,,32765317248,pyramidal neuron,layer_2,1432,416,0,0,1175,366,257,50,0,0,0,0,0,0,0,0,,,,layer_2
13880587619,2128670,1317660,129657,,13880587619,pyramidal neuron,layer_4,1598,604,0,0,29,19,195,66,541,270,833,249,0,0,0,0,,,,layer_4
41044522835,2376860,1675360,158433,,41044522835,pyramidal neuron,layer_5,226,100,0,0,0,0,51,22,132,30,43,48,0,0,0,0,,,,layer_5
3721006522,2647620,1208290,113883,,3721006522,pyramidal neuron,layer_3,6362,1932,55,17,549,156,5622,1734,136,25,0,0,0,0,0,0,,,,layer_3
2889815798,2001570,1300000,40986,,2889815798,interneuron,layer_5,2765,1099,0,0,0,0,128,56,587,187,2050,856,0,0,0,0,,,,layer_5
6747371726,3181540,1598050,116127,,6747371726,pyramidal neuron,layer_2,4247,1629,0,0,2598,1036,1125,386,122,62,402,145,0,0,0,0,,,,layer_2
