Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension,Cluster
29965283514_sort.swc,11572,164.868,6,967,1941,975,511.58,463.132,117.48,0.543883,3628.6,6493.06,2002.62,321.098,380.643,118,0.969973,4.96136,0.818808,101.009,94.2093,1.12919,0
30007247315_sort.swc,23589,255.407,3,1097,2197,1101,676.45,1053.12,119.559,0.680469,7503.71,16702.4,6434.19,918.608,1017.98,103,0.968932,9.73646,0.809913,101.432,93.5707,1.21029,5
30051839215_sort.swc,5523,106.69,6,262,528,267,368.58,505.06,111.969,0.583853,1797.32,3703.35,1290.28,517.617,562.563,66,0.964467,9.45833,0.810482,102.998,93.7702,1.05992,4
30067914369_sort.swc,11584,181.473,5,1056,2117,1062,380.96,460.51,115.302,0.535871,3646.98,6492.12,1782.34,284.894,387.499,133,0.974143,4.47142,0.820772,100.264,95.2106,1.15938,3
30080558892_sort.swc,8469,208.201,4,621,1244,624,355.52,422.82,114.774,0.530842,2678.24,4718.61,1188.09,406.237,463.772,121,0.971762,5.80707,0.823202,101.925,93.9952,1.13442,0
30109643347_sort.swc,13592,600.597,4,406,814,409,458.56,755.936,121.671,0.539975,4362.52,7818.36,1896.31,544.492,594.375,46,0.963186,15.6966,0.850526,103.313,93.8018,1.15227,4
30144321749_sort.swc,9860,166.048,3,848,1698,851,363.71,451.518,102.069,0.404667,3074.1,4026.0,743.256,306.842,394.499,141,0.97347,4.80624,0.795202,100.395,96.0745,1.15269,3
30184093548_sort.swc,9620,93.4639,5,780,1563,784,525.73,512.52,119.79,0.596996,3025.11,5951.73,1887.99,417.435,503.121,123,0.972386,5.15419,0.851128,102.369,96.7338,1.10816,0
3020071226_sort.swc,13910,181.617,4,1313,2630,1318,782.75,500.19,118.998,0.516779,4314.94,7094.65,1333.47,629.84,729.19,267,0.974981,4.28859,0.834566,100.506,95.4352,1.12178,0
30217253713_sort.swc,14587,136.545,6,1145,2297,1153,342.33,439.136,108.438,0.336465,4545.77,5007.7,957.584,278.445,482.34,146,0.972509,5.35002,0.825514,101.437,95.4966,1.19293,3
30224612947_sort.swc,18832,300.628,5,1021,2047,1027,414.34,709.22,114.378,0.712562,6009.74,14246.9,6930.69,547.648,617.575,98,0.967258,8.19932,0.822184,101.471,93.6675,1.18038,5
30225445097_sort.swc,22845,263.411,4,1339,2681,1343,582.01,909.824,114.708,0.651074,7231.99,15367.8,5222.2,649.327,724.188,136,0.971106,7.5207,0.818395,103.27,96.8815,1.18078,5
30228043058_sort.swc,14481,231.049,4,852,1706,855,582.4,626.268,115.467,0.518607,4596.58,8049.06,2219.11,593.679,663.917,106,0.970774,7.48769,0.793076,101.859,95.123,1.12507,0
30242937119_sort.swc,16277,425.102,6,1345,2698,1354,804.35,839.836,117.183,0.628083,5144.61,10240.7,2337.99,778.424,881.188,267,0.976713,5.03262,0.826862,100.856,96.1912,1.14786,5
30255667560_sort.swc,12249,96.0741,6,706,1417,712,397.57,529.374,118.866,0.508565,3888.64,6550.23,1926.71,423.786,551.526,115,0.967414,7.64361,0.855539,100.143,93.3992,1.14547,0
30284666886_sort.swc,7334,309.098,6,232,468,237,428.16,390.91,115.302,0.553875,2384.1,4353.52,956.755,366.892,465.424,34,0.969149,14.6688,0.796704,101.576,92.9434,1.11002,4
30316788332_sort.swc,11252,216.29,5,915,1834,920,505.63,509.8,122.067,0.506523,3529.27,5791.09,1091.34,478.29,547.28,164,0.974197,5.13468,0.82507,102.731,96.2879,1.10094,0
