UMAP1,UMAP2,label
9.746922,11.944968,interneuron
10.839701,9.056209,interneuron
8.774417,11.49587,interneuron
11.409185,9.869117,interneuron
11.573848,11.055071,interneuron
10.271824,9.464444,interneuron
8.760781,10.279717,interneuron
11.578192,10.323329,interneuron
9.548959,10.504179,interneuron
11.835933,11.344795,interneuron
10.570691,12.042182,interneuron
8.518185,9.595307,interneuron
-2.2892299,8.995303,interneuron
10.931466,11.849315,interneuron
8.092946,10.656249,interneuron
10.175079,9.830692,interneuron
-1.7769058,8.990381,interneuron
10.115052,10.167671,interneuron
11.052587,10.418041,interneuron
8.821942,9.591759,interneuron
11.38088,10.407518,interneuron
10.75726,11.508992,interneuron
9.724484,10.476138,interneuron
11.409692,10.464361,interneuron
10.453505,8.889405,interneuron
9.289751,9.884487,interneuron
10.458776,9.972305,interneuron
9.604849,10.492122,interneuron
9.902399,9.825981,interneuron
9.941668,10.509699,interneuron
9.933358,11.128943,interneuron
10.014146,12.211121,interneuron
9.876234,10.612702,interneuron
11.710367,9.858191,interneuron
8.937693,14.11603,interneuron
11.784501,10.268665,interneuron
10.423215,11.197258,interneuron
9.876245,10.159424,interneuron
10.539404,11.686556,interneuron
10.964971,10.93169,interneuron
8.477711,10.013012,interneuron
11.196666,9.524508,interneuron
11.093799,11.112099,interneuron
10.00276,11.781579,interneuron
11.787607,10.583955,interneuron
-1.9267553,9.101726,interneuron
9.756455,11.03819,interneuron
11.629851,11.681232,interneuron
10.208005,12.856281,interneuron
11.176821,10.065102,interneuron
10.8414345,9.433385,interneuron
10.083587,10.213022,interneuron
12.112921,10.358445,interneuron
9.078581,10.750792,interneuron
9.00186,13.574123,interneuron
11.223669,12.102244,interneuron
9.708917,10.508944,interneuron
8.706261,9.947084,interneuron
9.014873,9.81563,interneuron
10.696543,9.94426,interneuron
10.585967,11.109733,interneuron
9.1244,9.9242325,interneuron
11.732066,11.680246,interneuron
11.68265,10.386485,interneuron
10.372837,11.436048,interneuron
11.471144,11.354815,interneuron
10.685442,7.4347525,interneuron
11.685796,10.730632,interneuron
9.8146105,12.473595,interneuron
9.966499,10.755266,interneuron
11.215967,7.6928353,interneuron
10.273136,11.316632,interneuron
8.686298,9.925012,interneuron
11.684966,9.97486,interneuron
11.111518,9.194381,interneuron
9.521577,11.073928,interneuron
11.220928,9.568224,interneuron
10.688553,9.813724,interneuron
9.921297,11.503623,interneuron
9.88598,10.368247,interneuron
10.889739,11.470472,interneuron
-2.1350546,9.086895,interneuron
10.608927,11.405322,interneuron
-2.2340474,8.7600355,interneuron
9.251654,9.672652,interneuron
9.119944,10.036888,interneuron
8.74971,11.229821,interneuron
10.810437,11.10595,interneuron
10.258046,9.9899645,interneuron
11.590512,10.977461,interneuron
10.50879,9.866712,interneuron
11.926802,10.682525,interneuron
10.051399,10.17006,interneuron
9.7128525,10.854398,interneuron
10.057524,10.957689,interneuron
8.756139,11.203475,interneuron
9.61697,11.711946,interneuron
9.868094,10.261541,interneuron
9.205921,9.785261,interneuron
10.869508,8.79506,interneuron
11.806896,10.905588,interneuron
11.569412,10.509883,interneuron
8.83577,12.080165,interneuron
10.482587,13.058635,interneuron
8.193271,10.704937,interneuron
8.149776,10.645829,interneuron
-1.9685457,9.109016,interneuron
10.326474,11.630325,interneuron
9.5768385,10.474096,interneuron
9.77622,9.907458,interneuron
9.363124,13.533614,interneuron
9.490502,11.022459,interneuron
12.149952,10.709946,interneuron
9.098594,13.282418,interneuron
11.607346,9.881135,interneuron
9.109655,11.0846815,interneuron
9.645787,11.014835,interneuron
8.657505,11.582735,interneuron
8.083859,9.9392805,interneuron
8.583109,9.604804,interneuron
10.614774,11.421601,interneuron
10.272786,11.11037,interneuron
8.936652,10.893881,interneuron
10.711165,9.854947,interneuron
8.215308,10.679199,interneuron
9.706788,12.472596,interneuron
10.101926,10.152589,interneuron
9.574746,10.573158,interneuron
11.978423,10.51851,interneuron
8.830637,10.385939,interneuron
-2.250897,8.925757,interneuron
10.454557,11.475443,interneuron
11.32394,9.961124,interneuron
10.709462,12.573512,interneuron
11.548736,9.529819,interneuron
8.419354,9.796387,interneuron
10.385687,10.082737,interneuron
12.089557,10.512954,interneuron
11.233282,6.164911,interneuron
8.876963,9.881221,interneuron
10.67875,9.196389,interneuron
8.330183,9.901593,interneuron
8.943609,10.594302,interneuron
9.173797,10.329789,interneuron
9.491634,5.5639396,interneuron
10.941824,10.820589,interneuron
9.064506,11.0198965,interneuron
9.134585,11.729318,interneuron
11.904283,10.336424,interneuron
9.913806,9.923906,interneuron
11.094673,8.980092,interneuron
11.318657,11.731504,interneuron
10.686274,10.076376,interneuron
